report_id,claim_id,report_date,report_type,summary
0,0,2014-02-12,police_report,Report police_report for claim 0
1,0,2014-03-09,adjuster_note,Report adjuster_note for claim 0
2,0,2014-03-02,police_report,Report police_report for claim 0
3,0,2014-03-08,police_report,Report police_report for claim 0
4,0,2014-02-24,police_report,Report police_report for claim 0
5,1,2017-08-04,police_report,Report police_report for claim 1
6,1,2017-07-24,customer_statement,Report customer_statement for claim 1
7,2,2015-10-01,police_report,Report police_report for claim 2
8,2,2015-11-06,adjuster_note,Report adjuster_note for claim 2
9,2,2015-10-24,adjuster_note,Report adjuster_note for claim 2
10,2,2015-10-29,police_report,Report police_report for claim 2
11,3,2017-10-08,adjuster_note,Report adjuster_note for claim 3
12,3,2017-10-09,adjuster_note,Report adjuster_note for claim 3
13,3,2017-09-05,adjuster_note,Report adjuster_note for claim 3
14,4,2010-08-18,adjuster_note,Report adjuster_note for claim 4
15,4,2010-08-13,customer_statement,Report customer_statement for claim 4
16,4,2010-08-02,police_report,Report police_report for claim 4
17,4,2010-08-12,police_report,Report police_report for claim 4
18,4,2010-08-10,police_report,Report police_report for claim 4
19,5,2010-08-26,police_report,Report police_report for claim 5
20,5,2010-07-29,police_report,Report police_report for claim 5
21,5,2010-08-08,police_report,Report police_report for claim 5
22,5,2010-08-22,adjuster_note,Report adjuster_note for claim 5
23,6,2008-05-04,police_report,Report police_report for claim 6
24,6,2008-05-30,police_report,Report police_report for claim 6
25,6,2008-05-13,police_report,Report police_report for claim 6
26,6,2008-04-25,police_report,Report police_report for claim 6
27,6,2008-05-26,adjuster_note,Report adjuster_note for claim 6
28,7,2008-01-16,adjuster_note,Report adjuster_note for claim 7
29,7,2008-01-09,police_report,Report police_report for claim 7
30,8,2021-07-19,adjuster_note,Report adjuster_note for claim 8
31,8,2021-08-05,adjuster_note,Report adjuster_note for claim 8
32,9,2011-07-28,adjuster_note,Report adjuster_note for claim 9
33,10,2017-06-21,police_report,Report police_report for claim 10
34,10,2017-07-10,police_report,Report police_report for claim 10
35,11,2014-09-05,adjuster_note,Report adjuster_note for claim 11
36,11,2014-08-25,police_report,Report police_report for claim 11
37,11,2014-08-15,police_report,Report police_report for claim 11
38,12,2025-06-29,police_report,Report police_report for claim 12
39,12,2025-06-22,police_report,Report police_report for claim 12
40,12,2025-06-21,police_report,Report police_report for claim 12
41,13,2008-03-19,adjuster_note,Report adjuster_note for claim 13
42,13,2008-02-22,adjuster_note,Report adjuster_note for claim 13
43,13,2008-03-21,adjuster_note,Report adjuster_note for claim 13
44,13,2008-03-13,adjuster_note,Report adjuster_note for claim 13
45,13,2008-02-26,adjuster_note,Report adjuster_note for claim 13
46,14,2023-06-23,adjuster_note,Report adjuster_note for claim 14
47,14,2023-07-03,adjuster_note,Report adjuster_note for claim 14
48,14,2023-07-08,adjuster_note,Report adjuster_note for claim 14
49,15,2016-06-04,police_report,Report police_report for claim 15
50,16,2013-06-05,customer_statement,Report customer_statement for claim 16
51,16,2013-05-12,adjuster_note,Report adjuster_note for claim 16
52,16,2013-04-29,police_report,Report police_report for claim 16
53,17,2009-01-26,adjuster_note,Report adjuster_note for claim 17
54,17,2009-02-17,police_report,Report police_report for claim 17
55,18,2021-12-15,police_report,Report police_report for claim 18
56,18,2021-12-20,adjuster_note,Report adjuster_note for claim 18
57,19,2009-12-30,adjuster_note,Report adjuster_note for claim 19
58,19,2010-01-12,adjuster_note,Report adjuster_note for claim 19
59,19,2009-12-14,customer_statement,Report customer_statement for claim 19
60,20,2024-12-15,police_report,Report police_report for claim 20
61,20,2024-12-22,adjuster_note,Report adjuster_note for claim 20
62,20,2024-12-20,customer_statement,Report customer_statement for claim 20
63,20,2024-11-27,adjuster_note,Report adjuster_note for claim 20
64,20,2024-11-17,police_report,Report police_report for claim 20
65,21,2007-05-18,adjuster_note,Report adjuster_note for claim 21
66,21,2007-05-22,customer_statement,Report customer_statement for claim 21
67,21,2007-05-09,adjuster_note,Report adjuster_note for claim 21
68,22,2015-10-10,police_report,Report police_report for claim 22
69,22,2015-10-24,adjuster_note,Report adjuster_note for claim 22
70,22,2015-11-04,customer_statement,Report customer_statement for claim 22
71,22,2015-10-22,customer_statement,Report customer_statement for claim 22
72,22,2015-10-08,police_report,Report police_report for claim 22
73,23,2013-04-26,adjuster_note,Report adjuster_note for claim 23
74,23,2013-05-21,adjuster_note,Report adjuster_note for claim 23
75,23,2013-05-12,police_report,Report police_report for claim 23
76,23,2013-05-11,police_report,Report police_report for claim 23
77,23,2013-04-27,adjuster_note,Report adjuster_note for claim 23
78,24,2011-08-11,police_report,Report police_report for claim 24
79,25,2009-11-05,adjuster_note,Report adjuster_note for claim 25
8589934592,8589934592,2018-12-15,police_report,Report police_report for claim 8589934592
8589934593,8589934593,2007-09-26,police_report,Report police_report for claim 8589934593
8589934594,8589934593,2007-10-31,adjuster_note,Report adjuster_note for claim 8589934593
8589934595,8589934593,2007-10-14,adjuster_note,Report adjuster_note for claim 8589934593
8589934596,8589934594,2018-03-29,police_report,Report police_report for claim 8589934594
8589934597,8589934594,2018-03-28,police_report,Report police_report for claim 8589934594
8589934598,8589934594,2018-04-04,police_report,Report police_report for claim 8589934594
8589934599,8589934595,2016-04-10,adjuster_note,Report adjuster_note for claim 8589934595
8589934600,8589934595,2016-03-20,police_report,Report police_report for claim 8589934595
8589934601,8589934595,2016-03-23,adjuster_note,Report adjuster_note for claim 8589934595
8589934602,8589934596,2012-09-27,customer_statement,Report customer_statement for claim 8589934596
8589934603,8589934596,2012-09-01,customer_statement,Report customer_statement for claim 8589934596
8589934604,8589934597,2015-08-27,adjuster_note,Report adjuster_note for claim 8589934597
8589934605,8589934597,2015-09-03,police_report,Report police_report for claim 8589934597
8589934606,8589934597,2015-09-02,police_report,Report police_report for claim 8589934597
8589934607,8589934598,2016-06-22,adjuster_note,Report adjuster_note for claim 8589934598
8589934608,8589934598,2016-06-24,adjuster_note,Report adjuster_note for claim 8589934598
8589934609,8589934599,2024-01-26,adjuster_note,Report adjuster_note for claim 8589934599
8589934610,8589934600,2022-07-31,adjuster_note,Report adjuster_note for claim 8589934600
8589934611,8589934600,2022-08-06,adjuster_note,Report adjuster_note for claim 8589934600
8589934612,8589934600,2022-08-12,police_report,Report police_report for claim 8589934600
8589934613,8589934600,2022-08-17,police_report,Report police_report for claim 8589934600
8589934614,8589934600,2022-07-18,adjuster_note,Report adjuster_note for claim 8589934600
8589934615,8589934601,2024-08-20,adjuster_note,Report adjuster_note for claim 8589934601
8589934616,8589934601,2024-08-25,adjuster_note,Report adjuster_note for claim 8589934601
