policy_id,customer_id,agent_id,product_id,effective_date,term_years,expiration_date,canceled_flag,status,annual_premium_usd,deductible_usd,life_face_amount_usd,life_insured_age
0,303,0,2,2015-12-06,2,2017-12-05,False,expired,2471.81,1999,,
1,21,22,3,2018-11-25,2,2020-11-24,False,expired,508.86,587,,
2,389,3,1,2013-08-20,2,2015-08-20,False,expired,305.2,603,,
3,417,6,1,2014-11-28,2,2016-11-27,False,expired,733.32,392,,
4,181,16,1,2006-05-30,2,2008-05-29,False,expired,12.97,498,,
5,292,24,1,2015-04-20,3,2018-04-19,False,expired,7535.03,528,,
6,65,15,4,2021-07-11,2,2023-07-11,False,expired,10686.95,704,,
7,410,19,3,2016-04-23,2,2018-04-23,False,expired,766.47,334,,
8,283,31,1,2023-07-24,1,2024-07-23,False,expired,3541.86,389,,
9,52,5,1,2014-07-21,4,2018-07-20,False,expired,397.55,1221,,
10,56,12,3,2013-09-24,1,2014-09-24,False,expired,1444.7,568,,
11,227,2,1,2017-02-26,3,2020-02-26,False,expired,559.48,908,,
12,206,3,2,2023-02-18,1,2024-02-18,False,expired,31996.71,814,,
13,433,7,2,2009-08-26,1,2010-08-26,False,expired,222.78,2293,,
14,110,7,2,2009-05-29,2,2011-05-29,False,expired,1058.77,1170,,
15,196,28,4,2007-09-30,1,2008-09-29,False,expired,478.85,1070,,
16,123,0,3,2016-10-13,1,2017-10-13,False,expired,58.32,195,,
17,338,1,1,2012-09-21,2,2014-09-21,False,expired,276.96,585,,
18,68,3,1,2023-02-06,1,2024-02-06,False,expired,7352.72,1159,,
19,21,1,2,2011-01-14,2,2013-01-13,False,expired,2774.91,1467,,
20,430,15,2,2007-11-17,1,2008-11-16,True,expired,8691.83,603,,
21,480,38,3,2006-11-04,1,2007-11-04,False,expired,9.77,236,,
22,237,21,2,2021-03-18,1,2022-03-18,False,expired,7879.5,2094,,
23,179,14,1,2021-05-21,2,2023-05-21,False,expired,1649.32,416,,
24,275,18,2,2012-07-30,1,2013-07-30,False,expired,2036.8,1283,,
25,394,5,1,2018-04-03,1,2019-04-03,False,expired,722.73,563,,
26,92,35,1,2006-06-30,2,2008-06-29,False,expired,3106.46,902,,
27,64,10,1,2005-12-25,1,2006-12-25,False,expired,4291.76,334,,
28,72,29,2,2017-05-16,2,2019-05-16,False,expired,335.78,1146,,
29,431,30,4,2017-12-05,1,2018-12-05,False,expired,1069.23,626,,
30,119,3,2,2011-04-12,2,2013-04-11,False,expired,418.82,1307,,
31,367,13,2,2016-02-16,1,2017-02-15,False,expired,1646.33,2457,,
32,155,16,1,2015-12-04,2,2017-12-03,False,expired,1491.63,1058,,
33,241,33,1,2010-08-24,2,2012-08-23,False,expired,1702.14,975,,
34,259,33,1,2014-06-25,1,2015-06-25,False,expired,178.45,894,,
35,402,32,3,2014-05-27,1,2015-05-27,False,expired,248.93,199,,
36,69,31,4,2019-03-20,1,2020-03-19,False,expired,65.73,959,,
37,346,22,1,2021-11-11,2,2023-11-11,False,expired,3294.95,364,,
38,375,4,2,2006-05-28,1,2007-05-28,False,expired,1789.75,2340,,
39,54,12,2,2020-07-29,1,2021-07-29,False,expired,7439.31,916,,
40,334,35,3,2019-03-28,1,2020-03-27,False,expired,1199.51,211,,
41,216,0,2,2020-08-21,1,2021-08-21,False,expired,1607.3,1689,,
42,450,25,3,2008-08-22,1,2009-08-22,False,expired,562.2,569,,
43,88,38,3,2016-01-13,1,2017-01-12,False,expired,2410.14,493,,
44,170,23,1,2010-10-31,1,2011-10-31,False,expired,3508.22,565,,
45,234,29,1,2012-12-10,1,2013-12-10,False,expired,9751.21,917,,
46,153,23,1,2019-01-25,2,2021-01-24,False,expired,1520.38,1205,,
47,121,9,2,2024-04-23,4,2028-04-22,False,active,643.69,2381,,
48,25,25,2,2018-01-30,2,2020-01-30,False,expired,2562.24,1039,,
49,177,27,2,2016-07-11,2,2018-07-11,False,expired,302.71,2385,,
50,111,0,2,2010-11-08,3,2013-11-07,False,expired,648.03,708,,
51,197,35,2,2023-08-05,1,2024-08-04,False,expired,6713.06,790,,
52,20,21,2,2016-01-15,3,2019-01-14,False,expired,1707.16,1295,,
53,367,32,2,2019-10-25,1,2020-10-24,True,expired,498.49,1811,,
54,289,38,2,2012-04-30,1,2013-04-30,False,expired,2206.09,1647,,
55,15,4,3,2013-01-20,2,2015-01-20,False,expired,3748.15,373,,
56,162,11,1,2007-07-04,1,2008-07-03,False,expired,283.96,1000,,
57,280,23,1,2016-12-29,2,2018-12-29,False,expired,1263.23,662,,
58,64,28,1,2008-09-24,2,2010-09-24,True,expired,207.06,694,,
59,2,17,1,2007-04-02,1,2008-04-01,False,expired,3005.24,707,,
60,439,0,3,2016-01-13,2,2018-01-12,False,expired,846.18,304,,
61,278,21,3,2011-09-11,2,2013-09-10,False,expired,563.64,460,,
62,414,11,1,2013-02-16,2,2015-02-16,False,expired,151.77,717,,
63,233,7,3,2015-04-23,2,2017-04-22,False,expired,346.31,293,,
64,203,16,1,2019-07-23,1,2020-07-22,False,expired,2364.16,715,,
65,13,7,1,2007-10-01,2,2009-09-30,False,expired,2014.55,449,,
66,181,39,3,2009-09-01,1,2010-09-01,False,expired,316.56,535,,
67,72,11,3,2022-10-07,1,2023-10-07,False,expired,1193.84,172,,
68,242,12,3,2015-10-23,1,2016-10-22,False,expired,625.34,309,,
69,231,20,2,2009-06-23,1,2010-06-23,False,expired,2184.01,1698,,
70,6,4,2,2013-10-14,1,2014-10-14,False,expired,161.63,1062,,
71,386,32,2,2016-06-29,1,2017-06-29,False,expired,26.74,900,,
72,478,13,1,2007-07-22,3,2010-07-21,False,expired,632.16,454,,
73,462,23,1,2015-05-11,3,2018-05-10,False,expired,1442.93,1222,,
74,240,11,2,2014-06-20,4,2018-06-19,False,expired,3391.28,990,,
75,277,28,2,2008-05-01,1,2009-05-01,False,expired,1071.53,2068,,
76,68,1,1,2019-02-17,1,2020-02-17,False,expired,13530.37,938,,
77,207,2,1,2005-12-17,2,2007-12-17,False,expired,3312.12,361,,
78,40,33,1,2016-10-26,4,2020-10-25,False,expired,12117.77,903,,
79,156,9,2,2013-01-09,1,2014-01-09,False,expired,3522.81,774,,
80,477,14,3,2015-01-04,1,2016-01-04,False,expired,2332.19,190,,
81,429,0,1,2012-07-21,1,2013-07-21,False,expired,182.65,351,,
82,124,5,1,2023-01-20,2,2025-01-19,False,expired,4519.88,1106,,
83,333,25,2,2025-01-31,1,2026-01-31,False,active,1154.73,2409,,
84,298,0,1,2007-04-22,1,2008-04-21,False,expired,267.08,946,,
85,23,38,3,2022-06-15,3,2025-06-14,False,expired,54.11,503,,
86,182,21,2,2013-03-15,1,2014-03-15,False,expired,6204.26,1607,,
87,134,37,2,2020-05-14,2,2022-05-14,False,expired,3319.11,1433,,
88,431,11,1,2008-06-23,1,2009-06-23,False,expired,10390.28,1226,,
89,280,2,1,2006-01-16,2,2008-01-16,False,expired,302.73,972,,
90,386,4,3,2006-04-11,2,2008-04-10,False,expired,1402.27,168,,
91,151,29,3,2020-12-24,2,2022-12-24,False,expired,794.12,400,,
92,217,1,1,2010-11-30,2,2012-11-29,False,expired,509.23,536,,
93,403,16,1,2010-07-12,3,2013-07-11,False,expired,1167.67,1198,,
94,241,9,1,2020-05-21,1,2021-05-21,False,expired,719.41,404,,
95,389,27,3,2006-07-28,2,2008-07-27,False,expired,285.11,241,,
96,320,6,3,2009-06-09,1,2010-06-09,False,expired,178.72,440,,
97,481,16,2,2019-01-31,1,2020-01-31,False,expired,1687.97,1415,,
98,13,15,1,2011-06-25,2,2013-06-24,False,expired,628.1,1191,,
99,138,24,1,2005-09-07,4,2009-09-06,False,expired,8486.19,1117,,
100,13,16,1,2024-09-26,1,2025-09-26,False,active,1836.84,302,,
101,166,34,2,2006-12-20,2,2008-12-19,False,expired,1793.18,1928,,
102,255,35,1,2014-07-31,3,2017-07-30,False,expired,64.12,690,,
103,261,20,4,2020-04-14,2,2022-04-14,False,expired,4241.53,597,,
104,91,24,1,2006-01-31,1,2007-01-31,False,expired,13176.75,1101,,
105,429,19,1,2022-01-11,1,2023-01-11,False,expired,2568.63,1097,,
106,21,35,1,2007-06-25,2,2009-06-24,False,expired,401.91,314,,
107,254,1,2,2023-05-12,1,2024-05-11,False,expired,685.01,2461,,
108,433,27,1,2023-08-24,2,2025-08-23,False,expired,5507.08,599,,
109,417,26,3,2007-02-01,2,2009-01-31,False,expired,316.58,292,,
110,183,7,3,2013-04-01,3,2016-03-31,False,expired,211.3,463,,
111,289,36,1,2014-09-15,1,2015-09-15,False,expired,1916.3,572,,
112,473,8,1,2011-10-23,2,2013-10-22,False,expired,4229.1,898,,
113,343,7,3,2009-01-05,1,2010-01-05,False,expired,604.6,279,,
114,271,25,1,2007-12-31,2,2009-12-30,False,expired,6425.42,1166,,
115,170,3,2,2018-12-17,1,2019-12-17,False,expired,895.4,705,,
116,62,29,2,2006-05-09,1,2007-05-09,False,expired,635.65,1070,,
117,250,22,1,2013-08-13,3,2016-08-12,False,expired,336.51,851,,
118,441,14,3,2010-12-25,2,2012-12-24,False,expired,455.01,390,,
119,492,10,3,2009-06-22,2,2011-06-22,True,expired,1654.03,365,,
120,175,12,1,2009-06-16,2,2011-06-16,True,expired,9951.82,526,,
121,61,32,1,2014-01-26,2,2016-01-26,False,expired,1902.43,793,,
122,121,31,5,2023-08-22,1,2024-08-21,False,expired,4058.62,1143,,
123,371,5,1,2010-04-16,1,2011-04-16,False,expired,3474.03,395,,
124,472,29,2,2017-11-06,2,2019-11-06,False,expired,134.05,1307,,
125,7,21,2,2007-12-31,1,2008-12-30,True,expired,4732.8,706,,
126,275,35,3,2007-12-13,1,2008-12-12,False,expired,2476.94,383,,
127,48,0,2,2017-02-17,1,2018-02-17,False,expired,964.8,1236,,
128,80,2,2,2020-05-14,2,2022-05-14,False,expired,3918.49,1884,,
129,210,8,3,2018-02-18,1,2019-02-18,False,expired,7.85,266,,
130,308,4,1,2014-03-04,5,2019-03-03,False,expired,296.82,931,,
131,193,22,1,2006-04-15,2,2008-04-14,False,expired,41.21,593,,
132,239,32,1,2022-08-21,1,2023-08-21,False,expired,244.04,384,,
133,398,10,2,2006-10-17,3,2009-10-16,False,expired,1552.65,1568,,
134,66,13,2,2007-02-04,4,2011-02-03,False,expired,816.12,2315,,
135,159,37,3,2006-12-24,2,2008-12-23,False,expired,933.22,392,,
136,28,10,1,2009-11-29,1,2010-11-29,False,expired,1278.96,668,,
137,49,25,3,2005-11-08,2,2007-11-08,True,expired,203.01,264,,
138,99,29,3,2017-08-17,1,2018-08-17,False,expired,25201.07,245,,
139,98,28,1,2022-08-17,1,2023-08-17,False,expired,10377.08,374,,
140,359,31,1,2011-03-23,1,2012-03-22,False,expired,449.29,508,,
141,5,18,2,2017-12-03,1,2018-12-03,False,expired,103.44,1553,,
142,15,7,1,2017-04-30,1,2018-04-30,False,expired,81.56,512,,
143,47,8,1,2023-04-11,1,2024-04-10,False,expired,201.25,894,,
144,21,18,2,2024-01-18,1,2025-01-17,False,expired,1231.02,1704,,
145,198,38,2,2012-10-13,1,2013-10-13,False,expired,220.29,704,,
146,478,21,1,2010-04-13,2,2012-04-12,False,expired,1657.49,691,,
147,263,26,1,2016-02-04,1,2017-02-03,False,expired,121.02,1220,,
148,176,2,2,2007-08-04,1,2008-08-03,True,expired,513.82,2349,,
149,232,31,2,2015-09-16,3,2018-09-15,False,expired,171.91,2049,,
150,67,0,2,2006-11-14,3,2009-11-13,False,expired,16595.42,957,,
151,447,12,2,2012-05-05,1,2013-05-05,False,expired,715.51,1360,,
152,133,11,1,2012-10-11,2,2014-10-11,False,expired,195.88,1016,,
153,372,35,1,2025-01-06,1,2026-01-06,False,active,1468.49,595,,
154,381,23,1,2024-08-09,1,2025-08-09,False,expired,2692.36,936,,
155,42,36,2,2022-01-09,1,2023-01-09,False,expired,54.03,1625,,
156,165,33,2,2010-09-26,1,2011-09-26,True,expired,3331.96,643,,
157,203,0,1,2011-03-25,1,2012-03-24,True,expired,828.06,564,,
158,417,7,1,2024-01-20,1,2025-01-19,False,expired,1353.23,763,,
159,422,4,1,2022-04-07,2,2024-04-06,False,expired,2179.39,730,,
160,404,22,4,2013-04-08,4,2017-04-07,False,expired,1855.36,776,,
161,393,25,3,2012-06-17,2,2014-06-17,False,expired,111.85,547,,
162,281,5,2,2022-11-22,1,2023-11-22,False,expired,678.88,1599,,
163,50,21,2,2014-06-01,2,2016-05-31,False,expired,1347.36,802,,
164,153,32,2,2011-12-14,1,2012-12-13,False,expired,145.54,1418,,
165,449,29,2,2023-01-26,2,2025-01-25,False,expired,162.33,1661,,
166,6,27,2,2022-05-26,1,2023-05-26,False,expired,585.79,1079,,
167,323,28,1,2010-07-19,1,2011-07-19,False,expired,3127.67,641,,
168,480,27,4,2008-06-19,1,2009-06-19,False,expired,3996.47,748,,
169,293,3,1,2018-08-01,1,2019-08-01,False,expired,2323.61,658,,
170,367,14,1,2006-02-02,1,2007-02-02,False,expired,1876.42,1203,,
171,298,8,2,2012-01-17,2,2014-01-16,False,expired,824.62,2145,,
172,122,39,4,2024-06-12,1,2025-06-12,False,expired,57691.94,713,,
173,317,33,2,2007-03-13,3,2010-03-12,False,expired,1454.6,1298,,
174,343,33,1,2024-11-01,3,2027-11-01,False,active,811.21,601,,
175,7,37,2,2021-11-17,1,2022-11-17,False,expired,249.33,1885,,
176,444,38,1,2013-05-23,2,2015-05-23,False,expired,4735.83,1111,,
177,270,22,1,2020-07-02,1,2021-07-02,False,expired,2288.4,1002,,
178,402,26,2,2024-09-11,1,2025-09-11,False,active,159.03,1680,,
179,475,36,3,2016-04-06,1,2017-04-06,False,expired,107.14,166,,
180,55,20,3,2020-02-16,1,2021-02-15,False,expired,38.93,227,,
181,142,3,2,2019-06-18,3,2022-06-17,False,expired,6437.03,1957,,
182,296,10,2,2014-01-02,2,2016-01-02,False,expired,936.07,736,,
183,361,0,1,2019-10-17,1,2020-10-16,False,expired,33869.5,1222,,
184,219,12,3,2011-09-24,2,2013-09-23,False,expired,709.42,447,,
185,9,32,1,2017-02-26,1,2018-02-26,False,expired,635.64,799,,
186,270,39,2,2006-05-28,1,2007-05-28,False,expired,16782.51,1708,,
187,144,12,2,2016-05-18,1,2017-05-18,False,expired,356.73,1397,,
188,96,29,2,2009-10-07,1,2010-10-07,False,expired,20473.65,1662,,
189,205,5,1,2013-07-13,1,2014-07-13,True,expired,263.75,824,,
190,87,4,2,2007-01-14,1,2008-01-14,False,expired,1020.01,1066,,
191,488,24,5,2019-02-22,1,2020-02-22,False,expired,2072.72,492,,
192,149,34,2,2022-07-06,3,2025-07-05,False,expired,6158.15,1370,,
193,154,18,2,2023-11-28,1,2024-11-27,False,expired,111.96,840,,
194,252,31,2,2016-10-24,2,2018-10-24,False,expired,1119.16,2186,,
195,62,15,4,2005-12-16,1,2006-12-16,False,expired,647.23,303,,
196,407,19,2,2019-04-23,3,2022-04-22,False,expired,6304.53,2086,,
197,166,6,3,2023-07-05,1,2024-07-04,False,expired,299.93,359,,
198,295,4,3,2012-12-10,2,2014-12-10,False,expired,12.93,350,,
199,139,19,1,2012-06-09,3,2015-06-09,False,expired,168.59,955,,
200,356,23,1,2006-07-19,2,2008-07-18,False,expired,12655.77,558,,
201,12,8,6,2013-12-30,1,2014-12-30,False,expired,1699.39,152,,
202,36,11,2,2018-09-06,2,2020-09-05,True,expired,770.94,980,,
203,416,4,3,2023-05-18,2,2025-05-17,False,expired,1652.55,417,,
204,121,19,2,2020-08-27,1,2021-08-27,False,expired,3183.52,1596,,
205,187,17,1,2024-11-14,1,2025-11-14,False,active,194.58,1229,,
206,8,2,4,2008-09-30,1,2009-09-30,False,expired,297.93,491,,
207,68,2,1,2007-03-29,2,2009-03-28,False,expired,715.95,783,,
208,323,15,2,2021-06-03,1,2022-06-03,True,expired,7446.05,957,,
209,4,5,2,2020-10-16,2,2022-10-16,False,expired,515.03,1607,,
210,477,26,1,2016-05-23,2,2018-05-23,False,expired,4774.69,851,,
211,265,15,1,2017-07-14,2,2019-07-14,False,expired,6501.91,539,,
212,467,37,1,2012-09-17,1,2013-09-17,False,expired,2856.99,1018,,
213,147,11,1,2008-06-09,3,2011-06-09,False,expired,239.78,981,,
214,29,10,1,2023-01-02,2,2025-01-01,False,expired,27850.14,698,,
215,50,23,3,2008-07-29,1,2009-07-29,False,expired,432.2,557,,
216,367,23,2,2017-11-19,2,2019-11-19,False,expired,3593.01,1816,,
217,14,1,1,2023-09-06,2,2025-09-05,False,active,846.96,944,,
218,206,10,3,2025-03-15,1,2026-03-15,False,active,91.43,183,,
219,116,9,3,2019-06-13,1,2020-06-12,False,expired,23.61,612,,
220,348,30,1,2012-09-08,1,2013-09-08,False,expired,1774.55,543,,
221,77,20,1,2018-11-17,2,2020-11-16,False,expired,12334.32,1076,,
222,203,23,3,2006-01-01,2,2008-01-01,False,expired,4124.64,544,,
223,190,1,1,2013-08-26,2,2015-08-26,False,expired,4576.38,1224,,
224,309,11,3,2008-04-22,3,2011-04-22,False,expired,1245.69,343,,
225,201,13,1,2011-03-19,1,2012-03-18,False,expired,3397.06,603,,
226,434,22,1,2014-05-11,2,2016-05-10,False,expired,1780.47,697,,
227,441,13,1,2012-11-20,1,2013-11-20,False,expired,3483.22,1057,,
228,252,15,3,2020-03-05,3,2023-03-05,False,expired,3513.13,331,,
229,305,7,2,2014-02-09,1,2015-02-09,False,expired,983.7,2136,,
230,241,8,2,2021-04-15,2,2023-04-15,False,expired,1138.18,1049,,
231,441,0,1,2010-02-19,2,2012-02-19,False,expired,74.42,829,,
232,23,32,1,2016-09-17,1,2017-09-17,False,expired,54753.8,1069,,
233,337,1,2,2012-12-06,2,2014-12-06,False,expired,36231.67,1523,,
234,333,28,2,2010-02-03,3,2013-02-02,False,expired,308.92,1865,,
235,96,21,3,2013-05-24,2,2015-05-24,False,expired,260.73,304,,
236,450,6,3,2006-06-02,1,2007-06-02,False,expired,19.46,611,,
237,106,7,2,2008-07-17,1,2009-07-17,False,expired,5812.4,896,,
238,94,34,2,2016-09-01,3,2019-09-01,False,expired,512.44,1798,,
239,315,9,2,2017-11-30,2,2019-11-30,False,expired,3310.36,1640,,
240,40,29,3,2010-05-03,1,2011-05-03,False,expired,25.26,520,,
241,372,25,3,2013-06-08,2,2015-06-08,False,expired,85.66,516,,
242,277,1,3,2017-04-12,1,2018-04-12,False,expired,588.96,345,,
243,178,36,2,2021-06-25,2,2023-06-25,False,expired,982.84,1895,,
244,130,28,2,2022-09-05,1,2023-09-05,False,expired,494.01,1816,,
245,150,1,2,2015-09-04,1,2016-09-03,False,expired,458.19,1975,,
246,405,11,2,2016-04-09,1,2017-04-09,False,expired,1591.05,1823,,
247,395,27,3,2023-03-30,2,2025-03-29,False,expired,11177.55,199,,
248,74,13,2,2024-06-29,1,2025-06-29,False,expired,1149.6,1252,,
249,369,22,2,2018-01-21,3,2021-01-20,False,expired,1234.16,1573,,
250,270,16,1,2005-09-21,1,2006-09-21,False,expired,764.87,605,,
251,440,31,3,2010-03-21,4,2014-03-20,False,expired,759.1,260,,
252,11,25,4,2006-09-02,1,2007-09-02,False,expired,748.74,610,,
253,37,34,1,2012-01-19,2,2014-01-18,False,expired,722.24,780,,
254,108,30,2,2009-05-02,3,2012-05-01,False,expired,419.51,2272,,
255,51,4,1,2009-03-29,1,2010-03-29,False,expired,695.4,898,,
256,281,11,2,2014-02-03,1,2015-02-03,False,expired,223.83,1428,,
257,406,13,2,2009-09-25,1,2010-09-25,False,expired,56.75,2461,,
258,128,24,3,2024-11-18,3,2027-11-18,False,active,1627.54,163,,
259,170,34,5,2007-01-13,2,2009-01-12,False,expired,3452.26,350,,
260,463,22,1,2023-11-16,3,2026-11-15,False,active,631.3,1219,,
261,133,12,1,2011-09-19,1,2012-09-18,False,expired,4484.62,929,,
262,321,39,3,2025-06-27,2,2027-06-27,False,active,142.02,345,,
263,367,19,1,2021-03-30,1,2022-03-30,False,expired,585.26,775,,
264,357,12,1,2007-06-12,1,2008-06-11,False,expired,2236.93,1145,,
265,392,6,4,2017-01-30,1,2018-01-30,True,expired,784.81,514,,
266,225,37,3,2014-11-29,1,2015-11-29,False,expired,712.74,294,,
267,97,0,2,2010-02-17,3,2013-02-16,False,expired,676.45,1750,,
268,101,4,1,2019-04-03,2,2021-04-02,False,expired,507.71,707,,
269,228,31,4,2010-05-16,1,2011-05-16,False,expired,239.53,418,,
270,477,37,4,2015-06-21,2,2017-06-20,False,expired,675.65,1165,,
271,273,14,3,2020-07-30,1,2021-07-30,False,expired,257.25,335,,
272,332,3,1,2022-08-27,3,2025-08-26,False,expired,387.97,405,,
273,28,37,1,2006-08-20,2,2008-08-19,False,expired,594.36,326,,
274,398,22,1,2016-12-25,2,2018-12-25,False,expired,1795.5,454,,
275,10,27,2,2016-09-07,2,2018-09-07,False,expired,1412.93,845,,
276,152,37,2,2008-10-18,1,2009-10-18,False,expired,5624.81,2268,,
277,142,3,1,2024-07-22,2,2026-07-22,False,active,4782.33,317,,
278,444,10,3,2009-06-14,2,2011-06-14,False,expired,515.14,484,,
279,290,13,1,2025-06-18,1,2026-06-18,False,active,562.01,382,,
280,457,23,3,2009-07-09,3,2012-07-08,False,expired,659.53,287,,
281,422,15,3,2021-08-18,2,2023-08-18,False,expired,96.32,392,,
282,6,5,3,2010-08-31,1,2011-08-31,False,expired,79.53,194,,
283,95,7,2,2012-12-11,1,2013-12-11,False,expired,2347.77,2341,,
284,54,13,1,2023-02-18,1,2024-02-18,False,expired,3161.03,999,,
285,286,34,1,2023-08-31,3,2026-08-30,False,active,2371.28,830,,
286,317,32,2,2022-07-14,2,2024-07-13,False,expired,416.23,1616,,
287,70,30,1,2008-08-23,1,2009-08-23,False,expired,5166.51,626,,
288,269,27,1,2020-03-23,1,2021-03-23,False,expired,100.86,1034,,
289,409,38,2,2020-12-29,2,2022-12-29,False,expired,11561.21,1671,,
290,369,25,1,2016-12-18,1,2017-12-18,False,expired,51019.34,755,,
291,341,28,2,2016-05-07,2,2018-05-07,False,expired,146.18,2052,,
292,353,1,3,2024-01-31,2,2026-01-30,False,active,2864.63,387,,
293,346,23,1,2016-05-31,1,2017-05-31,False,expired,510.81,537,,
294,45,14,3,2024-05-03,2,2026-05-03,False,active,28.88,314,,
295,177,10,2,2023-10-29,1,2024-10-28,False,expired,315.73,2068,,
296,104,20,1,2012-09-08,1,2013-09-08,False,expired,323.23,1145,,
